from_player,to_player,assists,assist_points
Julian Champagnie,Keldon Johnson,23,55
Julian Champagnie,Charles Bassey,2,4
Julian Champagnie,Devin Vassell,4,10
Julian Champagnie,Tre Jones,4,10
Julian Champagnie,David Duke Jr.,0,0
Julian Champagnie,Sandro Mamukelashvili,11,27
Julian Champagnie,Julian Champagnie,0,0
Julian Champagnie,Malaki Branham,2,5
Julian Champagnie,Blake Wesley,6,13
Julian Champagnie,Jeremy Sochan,14,30
Julian Champagnie,Harrison Ingram,0,0
Julian Champagnie,Sidy Cissoko,0,0
Julian Champagnie,Victor Wembanyama,14,32
Julian Champagnie,Stephon Castle,8,17
Malaki Branham,Chris Paul,2,6
Malaki Branham,Bismack Biyombo,1,2
Malaki Branham,Harrison Barnes,6,16
Malaki Branham,De'Aaron Fox,0,0
Malaki Branham,Zach Collins,3,7
Malaki Branham,Jordan McLaughlin,1,3
Malaki Branham,Keldon Johnson,2,4
Malaki Branham,Charles Bassey,3,6
Malaki Branham,Devin Vassell,0,0
Malaki Branham,Tre Jones,0,0
Malaki Branham,David Duke Jr.,0,0
Malaki Branham,Sandro Mamukelashvili,6,15
Malaki Branham,Julian Champagnie,3,7
Malaki Branham,Malaki Branham,0,0
Malaki Branham,Blake Wesley,1,2
Malaki Branham,Jeremy Sochan,1,2
Malaki Branham,Harrison Ingram,0,0
Malaki Branham,Sidy Cissoko,1,3
Malaki Branham,Victor Wembanyama,5,10
Malaki Branham,Stephon Castle,3,7
Blake Wesley,Chris Paul,0,0
Blake Wesley,Bismack Biyombo,5,10
Blake Wesley,Harrison Barnes,4,12
Blake Wesley,De'Aaron Fox,0,0
Blake Wesley,Zach Collins,8,19
Blake Wesley,Jordan McLaughlin,5,15
Blake Wesley,Keldon Johnson,11,25
Blake Wesley,Charles Bassey,4,8
Blake Wesley,Devin Vassell,4,10
Blake Wesley,Tre Jones,1,2
Blake Wesley,David Duke Jr.,1,3
Blake Wesley,Sandro Mamukelashvili,27,67
Blake Wesley,Julian Champagnie,12,32
Blake Wesley,Malaki Branham,12,33
Blake Wesley,Blake Wesley,0,0
Blake Wesley,Jeremy Sochan,4,8
Blake Wesley,Harrison Ingram,0,0
Blake Wesley,Sidy Cissoko,5,11
Blake Wesley,Victor Wembanyama,4,10
Blake Wesley,Stephon Castle,7,16
Jeremy Sochan,Chris Paul,17,46
Jeremy Sochan,Bismack Biyombo,0,0
Jeremy Sochan,Harrison Barnes,7,18
Jeremy Sochan,De'Aaron Fox,5,12
Jeremy Sochan,Zach Collins,6,15
Jeremy Sochan,Jordan McLaughlin,0,0
Jeremy Sochan,Keldon Johnson,28,65
Jeremy Sochan,Charles Bassey,1,2
Jeremy Sochan,Devin Vassell,20,45
Jeremy Sochan,Tre Jones,0,0
Jeremy Sochan,David Duke Jr.,0,0
Jeremy Sochan,Sandro Mamukelashvili,3,9
Jeremy Sochan,Julian Champagnie,10,27
Jeremy Sochan,Malaki Branham,0,0
Jeremy Sochan,Blake Wesley,2,5
Jeremy Sochan,Jeremy Sochan,0,0
Jeremy Sochan,Harrison Ingram,0,0
Jeremy Sochan,Sidy Cissoko,0,0
Jeremy Sochan,Victor Wembanyama,15,36
Jeremy Sochan,Stephon Castle,14,29
Harrison Ingram,Chris Paul,0,0
Harrison Ingram,Bismack Biyombo,0,0
Harrison Ingram,Harrison Barnes,0,0
Harrison Ingram,De'Aaron Fox,0,0
Harrison Ingram,Zach Collins,0,0
Harrison Ingram,Jordan McLaughlin,0,0
Harrison Ingram,Keldon Johnson,0,0
Harrison Ingram,Charles Bassey,0,0
Harrison Ingram,Devin Vassell,0,0
Harrison Ingram,Tre Jones,0,0
